,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,43266.94344519208,0,GA,0
1,1.0,43266.94344519208,1,GA,0
2,2.0,43266.94344519208,2,GA,0
3,3.0,43266.94344519208,3,GA,0
4,4.0,43266.94344519208,4,GA,0
5,5.0,43266.94344519208,5,GA,0
6,6.0,43266.94344519208,6,GA,0
7,7.0,43266.94344519208,7,GA,0
8,8.0,43266.94344519208,8,GA,0
9,9.0,43266.94344519208,9,GA,0
10,10.0,43266.94344519208,10,GA,0
11,11.0,97545.69102476834,0,GA,1
12,12.0,97545.69102476834,1,GA,1
13,13.0,97545.69102476834,2,GA,1
14,14.0,97545.69102476834,3,GA,1
15,15.0,97545.69102476834,4,GA,1
16,16.0,97545.69102476834,5,GA,1
17,17.0,95983.14339392296,6,GA,1
18,18.0,95983.14339392296,7,GA,1
19,19.0,95983.14339392296,8,GA,1
20,20.0,44818.37203957729,9,GA,1
21,21.0,44818.37203957729,10,GA,1
22,22.0,88062.57309265572,0,GA,2
23,23.0,88062.57309265572,1,GA,2
24,24.0,88062.57309265572,2,GA,2
25,25.0,83521.47114734401,3,GA,2
26,26.0,83521.47114734401,4,GA,2
27,27.0,81132.35430824631,5,GA,2
28,28.0,72212.74695693151,6,GA,2
29,29.0,72212.74695693151,7,GA,2
30,30.0,72212.74695693151,8,GA,2
31,31.0,72212.74695693151,9,GA,2
32,32.0,72212.74695693151,10,GA,2
33,33.0,119610.99209911266,0,GA,3
34,34.0,119610.99209911266,1,GA,3
35,35.0,119610.99209911266,2,GA,3
36,36.0,119610.99209911266,3,GA,3
37,37.0,64256.66758318536,4,GA,3
38,38.0,51815.05848518347,5,GA,3
39,39.0,51815.05848518347,6,GA,3
40,40.0,38060.038258528206,7,GA,3
41,41.0,38060.038258528206,8,GA,3
42,42.0,38060.038258528206,9,GA,3
43,43.0,38060.038258528206,10,GA,3
44,44.0,126043.3828283181,0,GA,4
45,45.0,126043.3828283181,1,GA,4
46,46.0,95210.45880003214,2,GA,4
47,47.0,49433.88891412428,3,GA,4
48,48.0,49433.88891412428,4,GA,4
49,49.0,49433.88891412428,5,GA,4
50,50.0,49433.88891412428,6,GA,4
51,51.0,49433.88891412428,7,GA,4
52,52.0,49433.88891412428,8,GA,4
53,53.0,49433.88891412428,9,GA,4
54,54.0,49433.88891412428,10,GA,4
55,55.0,218892.8783212137,0,GA,5
56,56.0,218892.8783212137,1,GA,5
57,57.0,177701.0495062344,2,GA,5
58,58.0,177701.0495062344,3,GA,5
59,59.0,177701.0495062344,4,GA,5
60,60.0,166096.20155902972,5,GA,5
61,61.0,166096.20155902972,6,GA,5
62,62.0,166096.20155902972,7,GA,5
63,63.0,76923.58041490929,8,GA,5
64,64.0,76923.58041490929,9,GA,5
65,65.0,76923.58041490929,10,GA,5
66,66.0,116113.48974526596,0,GA,6
67,67.0,116113.48974526596,1,GA,6
68,68.0,67875.37478832628,2,GA,6
69,69.0,67875.37478832628,3,GA,6
70,70.0,67875.37478832628,4,GA,6
71,71.0,67875.37478832628,5,GA,6
72,72.0,67875.37478832628,6,GA,6
73,73.0,67875.37478832628,7,GA,6
74,74.0,67875.37478832628,8,GA,6
75,75.0,67875.37478832628,9,GA,6
76,76.0,67875.37478832628,10,GA,6
77,77.0,171747.7848229558,0,GA,7
78,78.0,153164.69549101472,1,GA,7
79,79.0,153164.69549101472,2,GA,7
80,80.0,138085.61691281802,3,GA,7
81,81.0,108117.56501384002,4,GA,7
82,82.0,108117.56501384002,5,GA,7
83,83.0,108117.56501384002,6,GA,7
84,84.0,108117.56501384002,7,GA,7
85,85.0,108117.56501384002,8,GA,7
86,86.0,108117.56501384002,9,GA,7
87,87.0,108117.56501384002,10,GA,7
88,88.0,93123.50991275904,0,GA,8
89,89.0,82882.06541166699,1,GA,8
90,90.0,82882.06541166699,2,GA,8
91,91.0,82882.06541166699,3,GA,8
92,92.0,82882.06541166699,4,GA,8
93,93.0,82882.06541166699,5,GA,8
94,94.0,52263.71238003411,6,GA,8
95,95.0,52263.71238003411,7,GA,8
96,96.0,52263.71238003411,8,GA,8
97,97.0,52263.71238003411,9,GA,8
98,98.0,52263.71238003411,10,GA,8
99,99.0,33445.728999806466,0,GA,9
100,100.0,33445.728999806466,1,GA,9
101,101.0,33445.728999806466,2,GA,9
102,102.0,33445.728999806466,3,GA,9
103,103.0,33445.728999806466,4,GA,9
104,104.0,33445.728999806466,5,GA,9
105,105.0,33445.728999806466,6,GA,9
106,106.0,33445.728999806466,7,GA,9
107,107.0,33445.728999806466,8,GA,9
108,108.0,33445.728999806466,9,GA,9
109,109.0,33445.728999806466,10,GA,9
110,110.0,43266.94344519208,0,DE best1bin,0
111,111.0,43266.94344519208,1,DE best1bin,0
112,112.0,43266.94344519208,2,DE best1bin,0
113,113.0,43266.94344519208,3,DE best1bin,0
114,114.0,43266.94344519208,4,DE best1bin,0
115,115.0,43266.94344519208,5,DE best1bin,0
116,116.0,43266.94344519208,6,DE best1bin,0
117,117.0,43266.94344519208,7,DE best1bin,0
118,118.0,37292.58653623626,8,DE best1bin,0
119,119.0,37292.58653623626,9,DE best1bin,0
120,120.0,37292.58653623626,10,DE best1bin,0
121,121.0,97545.69102476834,0,DE best1bin,1
122,122.0,97545.69102476834,1,DE best1bin,1
123,123.0,97545.69102476834,2,DE best1bin,1
124,124.0,97545.69102476834,3,DE best1bin,1
125,125.0,41918.09409697203,4,DE best1bin,1
126,126.0,41918.09409697203,5,DE best1bin,1
127,127.0,41918.09409697203,6,DE best1bin,1
128,128.0,41918.09409697203,7,DE best1bin,1
129,129.0,41918.09409697203,8,DE best1bin,1
130,130.0,41918.09409697203,9,DE best1bin,1
131,131.0,34260.10840841906,10,DE best1bin,1
132,132.0,88062.57309265572,0,DE best1bin,2
133,133.0,39890.80065426989,1,DE best1bin,2
134,134.0,39890.80065426989,2,DE best1bin,2
135,135.0,39890.80065426989,3,DE best1bin,2
136,136.0,39890.80065426989,4,DE best1bin,2
137,137.0,39890.80065426989,5,DE best1bin,2
138,138.0,30903.486306901472,6,DE best1bin,2
139,139.0,30903.486306901472,7,DE best1bin,2
140,140.0,30903.486306901472,8,DE best1bin,2
141,141.0,30903.486306901472,9,DE best1bin,2
142,142.0,30903.486306901472,10,DE best1bin,2
143,143.0,119610.99209911266,0,DE best1bin,3
144,144.0,77064.37078820178,1,DE best1bin,3
145,145.0,77064.37078820178,2,DE best1bin,3
146,146.0,77064.37078820178,3,DE best1bin,3
147,147.0,77064.37078820178,4,DE best1bin,3
148,148.0,77064.37078820178,5,DE best1bin,3
149,149.0,77064.37078820178,6,DE best1bin,3
150,150.0,77064.37078820178,7,DE best1bin,3
151,151.0,77064.37078820178,8,DE best1bin,3
152,152.0,77064.37078820178,9,DE best1bin,3
153,153.0,77064.37078820178,10,DE best1bin,3
154,154.0,126043.3828283181,0,DE best1bin,4
155,155.0,115069.86467360292,1,DE best1bin,4
