,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,16528.72691449144,0,GA,0
1,1.0,16528.72691449144,1,GA,0
2,2.0,16528.72691449144,2,GA,0
3,3.0,16528.72691449144,3,GA,0
4,4.0,16528.72691449144,4,GA,0
5,5.0,16528.72691449144,5,GA,0
6,6.0,16528.72691449144,6,GA,0
7,7.0,16528.72691449144,7,GA,0
8,8.0,16528.72691449144,8,GA,0
9,9.0,16528.72691449144,9,GA,0
10,10.0,16528.72691449144,10,GA,0
11,11.0,134569.0754239361,0,GA,1
12,12.0,134569.0754239361,1,GA,1
13,13.0,100454.02082906596,2,GA,1
14,14.0,100454.02082906596,3,GA,1
15,15.0,100454.02082906596,4,GA,1
16,16.0,56785.50160344606,5,GA,1
17,17.0,56785.50160344606,6,GA,1
18,18.0,56785.50160344606,7,GA,1
19,19.0,56785.50160344606,8,GA,1
20,20.0,48277.8432862958,9,GA,1
21,21.0,48277.8432862958,10,GA,1
22,22.0,131192.57467117126,0,GA,2
23,23.0,131192.57467117126,1,GA,2
24,24.0,131192.57467117126,2,GA,2
25,25.0,97375.19166353824,3,GA,2
26,26.0,62000.54584717516,4,GA,2
27,27.0,62000.54584717516,5,GA,2
28,28.0,42609.69948911627,6,GA,2
29,29.0,42609.69948911627,7,GA,2
30,30.0,42609.69948911627,8,GA,2
31,31.0,42609.69948911627,9,GA,2
32,32.0,42609.69948911627,10,GA,2
33,33.0,175110.57206754672,0,GA,3
34,34.0,129323.73761539107,1,GA,3
35,35.0,75123.02819864416,2,GA,3
36,36.0,75123.02819864416,3,GA,3
37,37.0,68992.51068557969,4,GA,3
38,38.0,68992.51068557969,5,GA,3
39,39.0,68992.51068557969,6,GA,3
40,40.0,68992.51068557969,7,GA,3
41,41.0,68992.51068557969,8,GA,3
42,42.0,68992.51068557969,9,GA,3
43,43.0,68992.51068557969,10,GA,3
44,44.0,154113.88042599292,0,GA,4
45,45.0,129813.2814985988,1,GA,4
46,46.0,106455.5763074674,2,GA,4
47,47.0,66444.26151262163,3,GA,4
48,48.0,66444.26151262163,4,GA,4
49,49.0,66444.26151262163,5,GA,4
50,50.0,66444.26151262163,6,GA,4
51,51.0,66444.26151262163,7,GA,4
52,52.0,66444.26151262163,8,GA,4
