,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,608263.7248139215,0,GA,0
1,1.0,608263.7248139215,1,GA,0
2,2.0,583210.0256414487,2,GA,0
3,3.0,519429.7160707601,3,GA,0
4,4.0,519429.7160707601,4,GA,0
5,5.0,519429.7160707601,5,GA,0
6,6.0,519429.7160707601,6,GA,0
7,7.0,353652.82063380885,7,GA,0
8,8.0,353652.82063380885,8,GA,0
9,9.0,353652.82063380885,9,GA,0
10,10.0,353652.82063380885,10,GA,0
11,11.0,527231.0144712834,0,GA,1
12,12.0,527231.0144712834,1,GA,1
13,13.0,527231.0144712834,2,GA,1
14,14.0,527231.0144712834,3,GA,1
15,15.0,414544.0618347974,4,GA,1
16,16.0,326273.6556613769,5,GA,1
17,17.0,326273.6556613769,6,GA,1
18,18.0,326273.6556613769,7,GA,1
19,19.0,320419.8731660758,8,GA,1
20,20.0,320419.8731660758,9,GA,1
21,21.0,320419.8731660758,10,GA,1
22,22.0,262408.9625562574,0,GA,2
23,23.0,262408.9625562574,1,GA,2
24,24.0,262408.9625562574,2,GA,2
25,25.0,262408.9625562574,3,GA,2
26,26.0,262408.9625562574,4,GA,2
27,27.0,262408.9625562574,5,GA,2
28,28.0,262408.9625562574,6,GA,2
29,29.0,262408.9625562574,7,GA,2
30,30.0,262408.9625562574,8,GA,2
31,31.0,262408.9625562574,9,GA,2
32,32.0,262408.9625562574,10,GA,2
33,33.0,468362.6664682645,0,GA,3
34,34.0,468362.6664682645,1,GA,3
35,35.0,468362.6664682645,2,GA,3
36,36.0,342448.5060585983,3,GA,3
37,37.0,342448.5060585983,4,GA,3
38,38.0,342448.5060585983,5,GA,3
39,39.0,331703.0485424352,6,GA,3
40,40.0,331703.0485424352,7,GA,3
41,41.0,331703.0485424352,8,GA,3
42,42.0,331703.0485424352,9,GA,3
43,43.0,331703.0485424352,10,GA,3
44,44.0,593358.3571085712,0,GA,4
45,45.0,585811.7576356332,1,GA,4
46,46.0,585811.7576356332,2,GA,4
47,47.0,399034.6258680024,3,GA,4
48,48.0,399034.6258680024,4,GA,4
49,49.0,399034.6258680024,5,GA,4
50,50.0,399034.6258680024,6,GA,4
51,51.0,399034.6258680024,7,GA,4
52,52.0,399034.6258680024,8,GA,4
