,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,568473.7400549529,0,GA,0
1,1.0,501632.04802220594,1,GA,0
2,2.0,449071.5321122741,2,GA,0
3,3.0,449071.5321122741,3,GA,0
4,4.0,449071.5321122741,4,GA,0
5,5.0,449071.5321122741,5,GA,0
6,6.0,449071.5321122741,6,GA,0
7,7.0,449071.5321122741,7,GA,0
8,8.0,449071.5321122741,8,GA,0
9,9.0,448723.172041241,9,GA,0
10,10.0,448723.172041241,10,GA,0
11,11.0,671897.4176669221,0,GA,1
12,12.0,508237.5701727392,1,GA,1
13,13.0,508237.5701727392,2,GA,1
14,14.0,508237.5701727392,3,GA,1
15,15.0,508237.5701727392,4,GA,1
16,16.0,508237.5701727392,5,GA,1
17,17.0,508237.5701727392,6,GA,1
18,18.0,508237.5701727392,7,GA,1
19,19.0,410437.3910943704,8,GA,1
20,20.0,410437.3910943704,9,GA,1
21,21.0,410437.3910943704,10,GA,1
22,22.0,249699.1583772064,0,GA,2
23,23.0,249699.1583772064,1,GA,2
24,24.0,249699.1583772064,2,GA,2
25,25.0,249699.1583772064,3,GA,2
26,26.0,249699.1583772064,4,GA,2
27,27.0,249699.1583772064,5,GA,2
28,28.0,228630.802067442,6,GA,2
29,29.0,185317.2601122635,7,GA,2
30,30.0,185317.2601122635,8,GA,2
31,31.0,185317.2601122635,9,GA,2
32,32.0,185317.2601122635,10,GA,2
33,33.0,410193.8036015399,0,GA,3
34,34.0,331044.53707787587,1,GA,3
35,35.0,331044.53707787587,2,GA,3
36,36.0,331044.53707787587,3,GA,3
37,37.0,331044.53707787587,4,GA,3
38,38.0,331044.53707787587,5,GA,3
39,39.0,331044.53707787587,6,GA,3
40,40.0,331044.53707787587,7,GA,3
41,41.0,331044.53707787587,8,GA,3
42,42.0,331044.53707787587,9,GA,3
43,43.0,331044.53707787587,10,GA,3
44,44.0,622831.9169401889,0,GA,4
45,45.0,622831.9169401889,1,GA,4
46,46.0,431620.9255367634,2,GA,4
47,47.0,431620.9255367634,3,GA,4
48,48.0,431620.9255367634,4,GA,4
49,49.0,431620.9255367634,5,GA,4
50,50.0,362566.34956343,6,GA,4
51,51.0,362566.34956343,7,GA,4
52,52.0,362566.34956343,8,GA,4
53,53.0,362566.34956343,9,GA,4
54,54.0,362566.34956343,10,GA,4
55,55.0,710211.7718143065,0,GA,5
56,56.0,678075.857012919,1,GA,5
57,57.0,486086.2282441035,2,GA,5
58,58.0,486086.2282441035,3,GA,5
59,59.0,486086.2282441035,4,GA,5
60,60.0,486086.2282441035,5,GA,5
61,61.0,486086.2282441035,6,GA,5
62,62.0,435628.6383136197,7,GA,5
63,63.0,435628.6383136197,8,GA,5
64,64.0,435628.6383136197,9,GA,5
65,65.0,435628.6383136197,10,GA,5
66,66.0,520837.6160727753,0,GA,6
67,67.0,510450.9042787932,1,GA,6
68,68.0,510450.9042787932,2,GA,6
69,69.0,396303.8470263922,3,GA,6
70,70.0,305891.63362020213,4,GA,6
71,71.0,305891.63362020213,5,GA,6
72,72.0,305891.63362020213,6,GA,6
73,73.0,305891.63362020213,7,GA,6
74,74.0,305891.63362020213,8,GA,6
75,75.0,305891.63362020213,9,GA,6
76,76.0,305891.63362020213,10,GA,6
77,77.0,431862.66582268575,0,GA,7
78,78.0,431862.66582268575,1,GA,7
79,79.0,411633.8332763468,2,GA,7
80,80.0,411633.8332763468,3,GA,7
81,81.0,411633.8332763468,4,GA,7
82,82.0,411633.8332763468,5,GA,7
83,83.0,411633.8332763468,6,GA,7
84,84.0,411633.8332763468,7,GA,7
85,85.0,411633.8332763468,8,GA,7
86,86.0,411633.8332763468,9,GA,7
87,87.0,411633.8332763468,10,GA,7
88,88.0,498333.0739188337,0,GA,8
89,89.0,498333.0739188337,1,GA,8
90,90.0,498333.0739188337,2,GA,8
91,91.0,382653.9463947289,3,GA,8
92,92.0,382653.9463947289,4,GA,8
93,93.0,382653.9463947289,5,GA,8
94,94.0,382653.9463947289,6,GA,8
95,95.0,338210.1387778159,7,GA,8
96,96.0,338210.1387778159,8,GA,8
97,97.0,325194.208254802,9,GA,8
98,98.0,325194.208254802,10,GA,8
99,99.0,560987.1705046562,0,GA,9
100,100.0,496328.3884699572,1,GA,9
101,101.0,427270.1304928864,2,GA,9
102,102.0,427270.1304928864,3,GA,9
103,103.0,374339.22605991934,4,GA,9
104,104.0,243502.7921199623,5,GA,9
105,105.0,243502.7921199623,6,GA,9
106,106.0,243502.7921199623,7,GA,9
107,107.0,243502.7921199623,8,GA,9
108,108.0,243502.7921199623,9,GA,9
109,109.0,243502.7921199623,10,GA,9
110,110.0,568473.7400549529,0,DE best1bin,0
111,111.0,429065.1048768312,1,DE best1bin,0
112,112.0,223037.970500718,2,DE best1bin,0
113,113.0,223037.970500718,3,DE best1bin,0
114,114.0,223037.970500718,4,DE best1bin,0
115,115.0,127979.4567085031,5,DE best1bin,0
116,116.0,127979.4567085031,6,DE best1bin,0
117,117.0,127979.4567085031,7,DE best1bin,0
118,118.0,127979.4567085031,8,DE best1bin,0
119,119.0,127979.4567085031,9,DE best1bin,0
120,120.0,127979.4567085031,10,DE best1bin,0
121,121.0,671897.4176669221,0,DE best1bin,1
122,122.0,259242.96895360496,1,DE best1bin,1
123,123.0,259242.96895360496,2,DE best1bin,1
124,124.0,259242.96895360496,3,DE best1bin,1
125,125.0,259242.96895360496,4,DE best1bin,1
126,126.0,234457.0440328529,5,DE best1bin,1
127,127.0,234457.0440328529,6,DE best1bin,1
128,128.0,234457.0440328529,7,DE best1bin,1
129,129.0,234457.0440328529,8,DE best1bin,1
130,130.0,234457.0440328529,9,DE best1bin,1
131,131.0,234457.0440328529,10,DE best1bin,1
132,132.0,249699.1583772064,0,DE best1bin,2
133,133.0,249699.1583772064,1,DE best1bin,2
134,134.0,249699.1583772064,2,DE best1bin,2
135,135.0,249699.1583772064,3,DE best1bin,2
136,136.0,222747.95360316776,4,DE best1bin,2
137,137.0,222747.95360316776,5,DE best1bin,2
138,138.0,222747.95360316776,6,DE best1bin,2
139,139.0,222747.95360316776,7,DE best1bin,2
140,140.0,222747.95360316776,8,DE best1bin,2
141,141.0,222747.95360316776,9,DE best1bin,2
142,142.0,222747.95360316776,10,DE best1bin,2
143,143.0,410193.8036015399,0,DE best1bin,3
144,144.0,391800.724058837,1,DE best1bin,3
145,145.0,314332.31450233527,2,DE best1bin,3
146,146.0,314332.31450233527,3,DE best1bin,3
147,147.0,312854.04997770017,4,DE best1bin,3
148,148.0,312854.04997770017,5,DE best1bin,3
149,149.0,312854.04997770017,6,DE best1bin,3
150,150.0,194989.0353076664,7,DE best1bin,3
151,151.0,194989.0353076664,8,DE best1bin,3
152,152.0,194989.0353076664,9,DE best1bin,3
153,153.0,194989.0353076664,10,DE best1bin,3
154,154.0,622831.9169401889,0,DE best1bin,4
155,155.0,438750.6023710798,1,DE best1bin,4
156,156.0,286453.9341055374,2,DE best1bin,4
157,157.0,286453.9341055374,3,DE best1bin,4
158,158.0,286453.9341055374,4,DE best1bin,4
159,159.0,286453.9341055374,5,DE best1bin,4
160,160.0,286453.9341055374,6,DE best1bin,4
161,161.0,286453.9341055374,7,DE best1bin,4
162,162.0,286453.9341055374,8,DE best1bin,4
163,163.0,286453.9341055374,9,DE best1bin,4
164,164.0,286453.9341055374,10,DE best1bin,4
165,165.0,710211.7718143065,0,DE best1bin,5
166,166.0,504383.8868684221,1,DE best1bin,5
167,167.0,453758.6496650896,2,DE best1bin,5
168,168.0,273622.7917828649,3,DE best1bin,5
169,169.0,273622.7917828649,4,DE best1bin,5
170,170.0,212186.26355477696,5,DE best1bin,5
171,171.0,212186.26355477696,6,DE best1bin,5
172,172.0,212186.26355477696,7,DE best1bin,5
173,173.0,212186.26355477696,8,DE best1bin,5
174,174.0,212186.26355477696,9,DE best1bin,5
175,175.0,123690.87585938087,10,DE best1bin,5
176,176.0,520837.6160727753,0,DE best1bin,6
177,177.0,440735.30258396943,1,DE best1bin,6
178,178.0,440735.30258396943,2,DE best1bin,6
179,179.0,403151.8032453744,3,DE best1bin,6
180,180.0,156485.00676974285,4,DE best1bin,6
181,181.0,156485.00676974285,5,DE best1bin,6
182,182.0,156485.00676974285,6,DE best1bin,6
183,183.0,156485.00676974285,7,DE best1bin,6
184,184.0,156485.00676974285,8,DE best1bin,6
185,185.0,156485.00676974285,9,DE best1bin,6
186,186.0,131846.61528817797,10,DE best1bin,6
187,187.0,431862.66582268575,0,DE best1bin,7
188,188.0,431862.66582268575,1,DE best1bin,7
189,189.0,284728.886993998,2,DE best1bin,7
190,190.0,284728.886993998,3,DE best1bin,7
191,191.0,284728.886993998,4,DE best1bin,7
192,192.0,273620.14999417897,5,DE best1bin,7
193,193.0,157790.85485316266,6,DE best1bin,7
194,194.0,157790.85485316266,7,DE best1bin,7
195,195.0,157790.85485316266,8,DE best1bin,7
196,196.0,157790.85485316266,9,DE best1bin,7
197,197.0,126897.64927072868,10,DE best1bin,7
198,198.0,498333.0739188337,0,DE best1bin,8
199,199.0,412744.9953511837,1,DE best1bin,8
200,200.0,412744.9953511837,2,DE best1bin,8
201,201.0,261315.6812390441,3,DE best1bin,8
202,202.0,261315.6812390441,4,DE best1bin,8
203,203.0,261315.6812390441,5,DE best1bin,8
204,204.0,261315.6812390441,6,DE best1bin,8
205,205.0,261315.6812390441,7,DE best1bin,8
206,206.0,261315.6812390441,8,DE best1bin,8
207,207.0,261315.6812390441,9,DE best1bin,8
208,208.0,261315.6812390441,10,DE best1bin,8
209,209.0,560987.1705046562,0,DE best1bin,9
210,210.0,430115.87607487786,1,DE best1bin,9
211,211.0,311600.7685755664,2,DE best1bin,9
212,212.0,311600.7685755664,3,DE best1bin,9
213,213.0,311600.7685755664,4,DE best1bin,9
214,214.0,311600.7685755664,5,DE best1bin,9
215,215.0,205135.6461930745,6,DE best1bin,9
216,216.0,205135.6461930745,7,DE best1bin,9
217,217.0,186835.33967957512,8,DE best1bin,9
218,218.0,186835.33967957512,9,DE best1bin,9
219,219.0,168891.4674922765,10,DE best1bin,9
220,220.0,568473.7400549529,0,PSO,0
221,221.0,568473.7400549529,1,PSO,0
222,222.0,425194.4653043584,2,PSO,0
223,223.0,425194.4653043584,3,PSO,0
224,224.0,372155.3755133244,4,PSO,0
225,225.0,372155.3755133244,5,PSO,0
226,226.0,235626.163939044,6,PSO,0
227,227.0,178492.47142084214,7,PSO,0
228,228.0,178492.47142084214,8,PSO,0
229,229.0,107107.8578938454,9,PSO,0
230,230.0,107107.8578938454,10,PSO,0
231,231.0,671897.4176669221,0,PSO,1
232,232.0,519127.0426814613,1,PSO,1
233,233.0,403814.3382699098,2,PSO,1
234,234.0,374514.2897117873,3,PSO,1
235,235.0,374514.2897117873,4,PSO,1
236,236.0,374514.2897117873,5,PSO,1
237,237.0,320601.06220846303,6,PSO,1
238,238.0,252288.9785969379,7,PSO,1
239,239.0,252288.9785969379,8,PSO,1
240,240.0,170190.05920788762,9,PSO,1
241,241.0,146493.71856008196,10,PSO,1
242,242.0,249699.1583772064,0,PSO,2
243,243.0,249699.1583772064,1,PSO,2
244,244.0,249699.1583772064,2,PSO,2
245,245.0,249699.1583772064,3,PSO,2
246,246.0,249699.1583772064,4,PSO,2
247,247.0,249699.1583772064,5,PSO,2
248,248.0,214755.17684969603,6,PSO,2
249,249.0,214755.17684969603,7,PSO,2
250,250.0,214755.17684969603,8,PSO,2
251,251.0,205327.31634531065,9,PSO,2
252,252.0,189970.3441711258,10,PSO,2
253,253.0,410193.8036015399,0,PSO,3
254,254.0,410193.8036015399,1,PSO,3
255,255.0,221991.89835400207,2,PSO,3
256,256.0,221991.89835400207,3,PSO,3
257,257.0,179622.63413476126,4,PSO,3
258,258.0,179622.63413476126,5,PSO,3
259,259.0,179622.63413476126,6,PSO,3
260,260.0,179622.63413476126,7,PSO,3
261,261.0,179622.63413476126,8,PSO,3
262,262.0,143212.84727183593,9,PSO,3
263,263.0,143212.84727183593,10,PSO,3
264,264.0,622831.9169401889,0,PSO,4
265,265.0,486786.4477019688,1,PSO,4
266,266.0,367848.5663503083,2,PSO,4
267,267.0,302817.12967543065,3,PSO,4
268,268.0,234489.25070993308,4,PSO,4
269,269.0,234489.25070993308,5,PSO,4
270,270.0,234489.25070993308,6,PSO,4
271,271.0,234489.25070993308,7,PSO,4
272,272.0,208801.30716158595,8,PSO,4
273,273.0,208801.30716158595,9,PSO,4
274,274.0,208801.30716158595,10,PSO,4
275,275.0,710211.7718143065,0,PSO,5
