,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,1116045.376067782,0,GA,0
1,1.0,1116045.376067782,1,GA,0
2,2.0,1116045.376067782,2,GA,0
3,3.0,1034174.7586233278,3,GA,0
4,4.0,607448.1282479392,4,GA,0
5,5.0,607448.1282479392,5,GA,0
6,6.0,588606.5196727571,6,GA,0
7,7.0,580841.7467940907,7,GA,0
8,8.0,465430.185824216,8,GA,0
9,9.0,465430.185824216,9,GA,0
10,10.0,465430.185824216,10,GA,0
11,11.0,1087190.6724655551,0,GA,1
12,12.0,1087190.6724655551,1,GA,1
13,13.0,1087190.6724655551,2,GA,1
14,14.0,772121.4356157712,3,GA,1
15,15.0,772121.4356157712,4,GA,1
16,16.0,658788.4089944501,5,GA,1
17,17.0,658788.4089944501,6,GA,1
18,18.0,658788.4089944501,7,GA,1
19,19.0,658788.4089944501,8,GA,1
20,20.0,590769.0638717865,9,GA,1
21,21.0,590769.0638717865,10,GA,1
22,22.0,1153049.4335627016,0,GA,2
23,23.0,1067828.0924988615,1,GA,2
24,24.0,1067828.0924988615,2,GA,2
25,25.0,733637.7293897609,3,GA,2
26,26.0,571706.081305713,4,GA,2
27,27.0,571706.081305713,5,GA,2
28,28.0,376399.34428813285,6,GA,2
29,29.0,376399.34428813285,7,GA,2
30,30.0,376399.34428813285,8,GA,2
31,31.0,376399.34428813285,9,GA,2
32,32.0,376399.34428813285,10,GA,2
33,33.0,1038400.7369183208,0,GA,3
34,34.0,1038400.7369183208,1,GA,3
35,35.0,1038400.7369183208,2,GA,3
36,36.0,1038400.7369183208,3,GA,3
37,37.0,962592.0140302846,4,GA,3
38,38.0,588485.2753668563,5,GA,3
39,39.0,588485.2753668563,6,GA,3
40,40.0,588485.2753668563,7,GA,3
41,41.0,588485.2753668563,8,GA,3
42,42.0,588485.2753668563,9,GA,3
43,43.0,588227.43901195,10,GA,3
44,44.0,1079660.2148504397,0,GA,4
45,45.0,970141.589983982,1,GA,4
46,46.0,828516.7978802318,2,GA,4
47,47.0,604517.8500977181,3,GA,4
48,48.0,580328.366299193,4,GA,4
49,49.0,553365.3712868403,5,GA,4
50,50.0,553365.3712868403,6,GA,4
51,51.0,553365.3712868403,7,GA,4
52,52.0,553365.3712868403,8,GA,4
53,53.0,480353.0197416179,9,GA,4
54,54.0,480353.0197416179,10,GA,4
55,55.0,1044550.521799773,0,GA,5
56,56.0,1044550.521799773,1,GA,5
57,57.0,624244.9072466337,2,GA,5
58,58.0,610164.4744282181,3,GA,5
59,59.0,550015.8381558676,4,GA,5
60,60.0,550015.8381558676,5,GA,5
61,61.0,503680.5772603055,6,GA,5
62,62.0,316348.3446768273,7,GA,5
63,63.0,316348.3446768273,8,GA,5
64,64.0,316348.3446768273,9,GA,5
65,65.0,316348.3446768273,10,GA,5
66,66.0,641185.1470552969,0,GA,6
67,67.0,641185.1470552969,1,GA,6
68,68.0,641185.1470552969,2,GA,6
