,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,7672233.921009568,0,GA,0
1,1.0,6792721.698607367,1,GA,0
2,2.0,6792721.698607367,2,GA,0
3,3.0,6792721.698607367,3,GA,0
4,4.0,6792721.698607367,4,GA,0
5,5.0,6792721.698607367,5,GA,0
6,6.0,6792721.698607367,6,GA,0
7,7.0,6792721.698607367,7,GA,0
8,8.0,6792721.698607367,8,GA,0
9,9.0,6792721.698607367,9,GA,0
10,10.0,6792721.698607367,10,GA,0
11,11.0,8312532.714307276,0,GA,1
12,12.0,8312532.714307276,1,GA,1
13,13.0,8312532.714307276,2,GA,1
14,14.0,8312532.714307276,3,GA,1
15,15.0,8312532.714307276,4,GA,1
16,16.0,8312532.714307276,5,GA,1
17,17.0,8312532.714307276,6,GA,1
18,18.0,8312532.714307276,7,GA,1
19,19.0,8312532.714307276,8,GA,1
20,20.0,5909902.247100588,9,GA,1
21,21.0,5909902.247100588,10,GA,1
22,22.0,6760649.31747568,0,GA,2
23,23.0,6760649.31747568,1,GA,2
24,24.0,6760649.31747568,2,GA,2
25,25.0,6760649.31747568,3,GA,2
26,26.0,6760649.31747568,4,GA,2
27,27.0,6760649.31747568,5,GA,2
28,28.0,6760649.31747568,6,GA,2
29,29.0,6760649.31747568,7,GA,2
30,30.0,6760649.31747568,8,GA,2
31,31.0,6760649.31747568,9,GA,2
32,32.0,6760649.31747568,10,GA,2
33,33.0,5410638.494992412,0,GA,3
34,34.0,5410638.494992412,1,GA,3
35,35.0,5410638.494992412,2,GA,3
36,36.0,5410638.494992412,3,GA,3
37,37.0,5410638.494992412,4,GA,3
38,38.0,5410638.494992412,5,GA,3
39,39.0,5410638.494992412,6,GA,3
40,40.0,5410638.494992412,7,GA,3
41,41.0,5410638.494992412,8,GA,3
42,42.0,5410638.494992412,9,GA,3
43,43.0,5410638.494992412,10,GA,3
44,44.0,8546280.137011603,0,GA,4
45,45.0,8546280.137011603,1,GA,4
46,46.0,7391972.187197209,2,GA,4
47,47.0,7391972.187197209,3,GA,4
48,48.0,7076596.624617517,4,GA,4
49,49.0,7076596.624617517,5,GA,4
50,50.0,7076596.624617517,6,GA,4
51,51.0,7076596.624617517,7,GA,4
52,52.0,7076596.624617517,8,GA,4
53,53.0,7076596.624617517,9,GA,4
54,54.0,6935741.065318485,10,GA,4
55,55.0,6935036.757342491,0,GA,5
56,56.0,6935036.757342491,1,GA,5
57,57.0,6935036.757342491,2,GA,5
58,58.0,6935036.757342491,3,GA,5
59,59.0,6935036.757342491,4,GA,5
60,60.0,6935036.757342491,5,GA,5
61,61.0,6935036.757342491,6,GA,5
62,62.0,6935036.757342491,7,GA,5
63,63.0,6935036.757342491,8,GA,5
64,64.0,6935036.757342491,9,GA,5
65,65.0,6935036.757342491,10,GA,5
66,66.0,8231790.43395392,0,GA,6
67,67.0,8231790.43395392,1,GA,6
68,68.0,8231790.43395392,2,GA,6
69,69.0,8231790.43395392,3,GA,6
70,70.0,8231790.43395392,4,GA,6
71,71.0,8231790.43395392,5,GA,6
72,72.0,8231790.43395392,6,GA,6
73,73.0,8231790.43395392,7,GA,6
74,74.0,8231790.43395392,8,GA,6
75,75.0,8231790.43395392,9,GA,6
76,76.0,8231790.43395392,10,GA,6
77,77.0,10224829.225027809,0,GA,7
78,78.0,8249376.615790028,1,GA,7
79,79.0,8249376.615790028,2,GA,7
80,80.0,8249376.615790028,3,GA,7
81,81.0,8249376.615790028,4,GA,7
82,82.0,8249376.615790028,5,GA,7
83,83.0,8249376.615790028,6,GA,7
84,84.0,8249376.615790028,7,GA,7
85,85.0,8249376.615790028,8,GA,7
86,86.0,8249376.615790028,9,GA,7
87,87.0,8249376.615790028,10,GA,7
88,88.0,7791494.631414902,0,GA,8
89,89.0,7791494.631414902,1,GA,8
90,90.0,7791494.631414902,2,GA,8
91,91.0,7791494.631414902,3,GA,8
92,92.0,7791494.631414902,4,GA,8
93,93.0,7791494.631414902,5,GA,8
94,94.0,7791494.631414902,6,GA,8
95,95.0,7791494.631414902,7,GA,8
96,96.0,7791494.631414902,8,GA,8
97,97.0,7791494.631414902,9,GA,8
98,98.0,7791494.631414902,10,GA,8
99,99.0,7070035.01884928,0,GA,9
100,100.0,7070035.01884928,1,GA,9
101,101.0,7070035.01884928,2,GA,9
102,102.0,7070035.01884928,3,GA,9
103,103.0,7070035.01884928,4,GA,9
104,104.0,7070035.01884928,5,GA,9
105,105.0,7070035.01884928,6,GA,9
106,106.0,7070035.01884928,7,GA,9
107,107.0,7070035.01884928,8,GA,9
108,108.0,7070035.01884928,9,GA,9
109,109.0,7070035.01884928,10,GA,9
110,110.0,7672233.921009568,0,DE best1bin,0
111,111.0,7672233.921009568,1,DE best1bin,0
112,112.0,7672233.921009568,2,DE best1bin,0
113,113.0,7672233.921009568,3,DE best1bin,0
114,114.0,7672233.921009568,4,DE best1bin,0
115,115.0,4794567.605403253,5,DE best1bin,0
116,116.0,2725909.929797352,6,DE best1bin,0
117,117.0,2392282.922860572,7,DE best1bin,0
118,118.0,2392282.922860572,8,DE best1bin,0
119,119.0,2392282.922860572,9,DE best1bin,0
120,120.0,2392282.922860572,10,DE best1bin,0
121,121.0,8312532.714307276,0,DE best1bin,1
122,122.0,5527289.87303865,1,DE best1bin,1
123,123.0,5527289.87303865,2,DE best1bin,1
124,124.0,4433245.200431692,3,DE best1bin,1
125,125.0,4433245.200431692,4,DE best1bin,1
126,126.0,4433245.200431692,5,DE best1bin,1
127,127.0,4433245.200431692,6,DE best1bin,1
128,128.0,4433245.200431692,7,DE best1bin,1
129,129.0,4433245.200431692,8,DE best1bin,1
130,130.0,4433245.200431692,9,DE best1bin,1
131,131.0,4433245.200431692,10,DE best1bin,1
132,132.0,6760649.31747568,0,DE best1bin,2
133,133.0,6760649.31747568,1,DE best1bin,2
134,134.0,6760649.31747568,2,DE best1bin,2
135,135.0,6059906.425772679,3,DE best1bin,2
136,136.0,6059906.425772679,4,DE best1bin,2
137,137.0,6059906.425772679,5,DE best1bin,2
138,138.0,4542270.539528011,6,DE best1bin,2
139,139.0,4542270.539528011,7,DE best1bin,2
140,140.0,4542270.539528011,8,DE best1bin,2
141,141.0,3588209.5462935017,9,DE best1bin,2
142,142.0,3588209.5462935017,10,DE best1bin,2
143,143.0,5410638.494992412,0,DE best1bin,3
144,144.0,5410638.494992412,1,DE best1bin,3
145,145.0,5410638.494992412,2,DE best1bin,3
146,146.0,5410638.494992412,3,DE best1bin,3
147,147.0,5410638.494992412,4,DE best1bin,3
148,148.0,5410638.494992412,5,DE best1bin,3
149,149.0,5410638.494992412,6,DE best1bin,3
150,150.0,5410638.494992412,7,DE best1bin,3
151,151.0,5410638.494992412,8,DE best1bin,3
152,152.0,5410638.494992412,9,DE best1bin,3
153,153.0,5410638.494992412,10,DE best1bin,3
154,154.0,8546280.137011603,0,DE best1bin,4
155,155.0,8546280.137011603,1,DE best1bin,4
156,156.0,5515290.588605542,2,DE best1bin,4
157,157.0,5515290.588605542,3,DE best1bin,4
158,158.0,4917546.694542662,4,DE best1bin,4
159,159.0,4917546.694542662,5,DE best1bin,4
160,160.0,4917546.694542662,6,DE best1bin,4
161,161.0,4917546.694542662,7,DE best1bin,4
162,162.0,4917546.694542662,8,DE best1bin,4
163,163.0,4917546.694542662,9,DE best1bin,4
164,164.0,1263879.7864889272,10,DE best1bin,4
165,165.0,6935036.757342491,0,DE best1bin,5
166,166.0,6935036.757342491,1,DE best1bin,5
167,167.0,6935036.757342491,2,DE best1bin,5
168,168.0,6453651.258925994,3,DE best1bin,5
169,169.0,6453651.258925994,4,DE best1bin,5
170,170.0,6453651.258925994,5,DE best1bin,5
171,171.0,4967388.491260122,6,DE best1bin,5
172,172.0,4967388.491260122,7,DE best1bin,5
173,173.0,4967388.491260122,8,DE best1bin,5
174,174.0,4967388.491260122,9,DE best1bin,5
175,175.0,4967388.491260122,10,DE best1bin,5
176,176.0,8231790.43395392,0,DE best1bin,6
177,177.0,6890386.84002189,1,DE best1bin,6
178,178.0,6890386.84002189,2,DE best1bin,6
179,179.0,6483445.903149352,3,DE best1bin,6
180,180.0,6483445.903149352,4,DE best1bin,6
181,181.0,5221917.705325725,5,DE best1bin,6
182,182.0,2742916.844921664,6,DE best1bin,6
183,183.0,2742916.844921664,7,DE best1bin,6
184,184.0,2742916.844921664,8,DE best1bin,6
185,185.0,2742916.844921664,9,DE best1bin,6
186,186.0,2742916.844921664,10,DE best1bin,6
187,187.0,10224829.225027809,0,DE best1bin,7
188,188.0,8249376.615790028,1,DE best1bin,7
189,189.0,8249376.615790028,2,DE best1bin,7
190,190.0,8249376.615790028,3,DE best1bin,7
191,191.0,8249376.615790028,4,DE best1bin,7
192,192.0,4913732.261798336,5,DE best1bin,7
193,193.0,4913732.261798336,6,DE best1bin,7
194,194.0,4913732.261798336,7,DE best1bin,7
195,195.0,4913732.261798336,8,DE best1bin,7
196,196.0,4913732.261798336,9,DE best1bin,7
197,197.0,4913732.261798336,10,DE best1bin,7
198,198.0,7791494.631414902,0,DE best1bin,8
199,199.0,7791494.631414902,1,DE best1bin,8
200,200.0,7791494.631414902,2,DE best1bin,8
201,201.0,6651456.112757058,3,DE best1bin,8
202,202.0,6651456.112757058,4,DE best1bin,8
203,203.0,6651456.112757058,5,DE best1bin,8
204,204.0,6651456.112757058,6,DE best1bin,8
205,205.0,6651456.112757058,7,DE best1bin,8
206,206.0,6651456.112757058,8,DE best1bin,8
207,207.0,6651456.112757058,9,DE best1bin,8
208,208.0,6651456.112757058,10,DE best1bin,8
209,209.0,7070035.01884928,0,DE best1bin,9
210,210.0,5385737.126237064,1,DE best1bin,9
211,211.0,5385737.126237064,2,DE best1bin,9
212,212.0,5385737.126237064,3,DE best1bin,9
213,213.0,5385737.126237064,4,DE best1bin,9
214,214.0,5385737.126237064,5,DE best1bin,9
215,215.0,5385737.126237064,6,DE best1bin,9
216,216.0,5385737.126237064,7,DE best1bin,9
217,217.0,5385737.126237064,8,DE best1bin,9
218,218.0,5385737.126237064,9,DE best1bin,9
219,219.0,5385737.126237064,10,DE best1bin,9
220,220.0,7672233.921009568,0,PSO,0
221,221.0,7672233.921009568,1,PSO,0
222,222.0,5003326.070698537,2,PSO,0
223,223.0,5003326.070698537,3,PSO,0
224,224.0,5003326.070698537,4,PSO,0
225,225.0,4618533.600375031,5,PSO,0
226,226.0,4618533.600375031,6,PSO,0
227,227.0,4618533.600375031,7,PSO,0
228,228.0,4044562.7594297407,8,PSO,0
229,229.0,4044562.7594297407,9,PSO,0
230,230.0,3509398.648085844,10,PSO,0
231,231.0,8312532.714307276,0,PSO,1
232,232.0,8312532.714307276,1,PSO,1
233,233.0,4643111.064991816,2,PSO,1
234,234.0,3179965.150912864,3,PSO,1
235,235.0,3179965.150912864,4,PSO,1
236,236.0,3179965.150912864,5,PSO,1
237,237.0,3179965.150912864,6,PSO,1
238,238.0,3042460.645019217,7,PSO,1
239,239.0,3042460.645019217,8,PSO,1
240,240.0,3042460.645019217,9,PSO,1
241,241.0,3042460.645019217,10,PSO,1
242,242.0,6760649.31747568,0,PSO,2
243,243.0,6760649.31747568,1,PSO,2
244,244.0,3731107.068020857,2,PSO,2
245,245.0,3731107.068020857,3,PSO,2
246,246.0,3582375.140382076,4,PSO,2
247,247.0,3172180.6185440314,5,PSO,2
248,248.0,2618275.2658090387,6,PSO,2
249,249.0,2533327.557002628,7,PSO,2
250,250.0,2533327.557002628,8,PSO,2
251,251.0,2244609.055378427,9,PSO,2
252,252.0,2244609.055378427,10,PSO,2
253,253.0,5410638.494992412,0,PSO,3
254,254.0,5410638.494992412,1,PSO,3
255,255.0,5410638.494992412,2,PSO,3
256,256.0,3838644.9604903753,3,PSO,3
257,257.0,3838644.9604903753,4,PSO,3
258,258.0,3838644.9604903753,5,PSO,3
259,259.0,3838644.9604903753,6,PSO,3
260,260.0,3838644.9604903753,7,PSO,3
261,261.0,3577310.7851055744,8,PSO,3
262,262.0,3577310.7851055744,9,PSO,3
263,263.0,3577310.7851055744,10,PSO,3
264,264.0,8546280.137011603,0,PSO,4
265,265.0,6606429.225188145,1,PSO,4
266,266.0,4685527.355852869,2,PSO,4
267,267.0,4685527.355852869,3,PSO,4
268,268.0,4685527.355852869,4,PSO,4
269,269.0,4685527.355852869,5,PSO,4
270,270.0,4685527.355852869,6,PSO,4
271,271.0,4685527.355852869,7,PSO,4
272,272.0,4685527.355852869,8,PSO,4
273,273.0,4572372.999183144,9,PSO,4
274,274.0,4329178.1544929305,10,PSO,4
275,275.0,6935036.757342491,0,PSO,5
276,276.0,6935036.757342491,1,PSO,5
277,277.0,6935036.757342491,2,PSO,5
278,278.0,4017987.497277316,3,PSO,5
279,279.0,4017987.497277316,4,PSO,5
280,280.0,3805778.744791337,5,PSO,5
281,281.0,3805778.744791337,6,PSO,5
282,282.0,3805778.744791337,7,PSO,5
283,283.0,2778374.1949198013,8,PSO,5
284,284.0,2564849.8646351146,9,PSO,5
285,285.0,2564849.8646351146,10,PSO,5
286,286.0,8231790.43395392,0,PSO,6
287,287.0,7997871.95945384,1,PSO,6
288,288.0,5397243.727065251,2,PSO,6
289,289.0,4980618.931931024,3,PSO,6
290,290.0,3877964.89512837,4,PSO,6
291,291.0,2985175.6090841256,5,PSO,6
292,292.0,2985175.6090841256,6,PSO,6
293,293.0,2985175.6090841256,7,PSO,6
294,294.0,2985175.6090841256,8,PSO,6
295,295.0,2985175.6090841256,9,PSO,6
296,296.0,2985175.6090841256,10,PSO,6
297,297.0,10224829.225027809,0,PSO,7
298,298.0,8859833.69671434,1,PSO,7
299,299.0,5599618.109324317,2,PSO,7
300,300.0,5599618.109324317,3,PSO,7
301,301.0,5599618.109324317,4,PSO,7
302,302.0,5599618.109324317,5,PSO,7
303,303.0,5599618.109324317,6,PSO,7
304,304.0,5599618.109324317,7,PSO,7
305,305.0,4882339.047324316,8,PSO,7
306,306.0,3473070.608664844,9,PSO,7
307,307.0,3473070.608664844,10,PSO,7
308,308.0,7791494.631414902,0,PSO,8
309,309.0,4936333.006485277,1,PSO,8
310,310.0,4936333.006485277,2,PSO,8
311,311.0,4936333.006485277,3,PSO,8
312,312.0,4936333.006485277,4,PSO,8
313,313.0,2756500.323872014,5,PSO,8
314,314.0,1866128.8220492215,6,PSO,8
315,315.0,1866128.8220492215,7,PSO,8
316,316.0,1866128.8220492215,8,PSO,8
317,317.0,1866128.8220492215,9,PSO,8
